School_name,School_Address,School_Contact,School_Website,School_Rating,School_Delhi
Delhi Public School R.K.Puram,"Delhi Public School, Kaifi Azmi Marg",+91 11 4911 5500,http://www.dpsrkp.net/,4.1,Delhi
St. Xavier's Senior Secondary School,"4, Raj Niwas Marg",+91 11 2395 7778,http://www.stxaviersdelhi.com/,4.5,Delhi
Carmel Convent School,Malcha Marg,+91 11 2687 1299,http://carmeldelhi.com/,4.4,Delhi
Sardar Patel Vidyalaya,Sardar Patel Vidyalaya,+91 11 2462 7344,http://spvdelhi.org/,4.6,Delhi
Modern School,Barakhamba Rd,+91 11 2331 1618,http://www.modernschool.net/,4.4,Delhi
Bal Bharati Public School Rajinder Nagar,"Ganga Ram Hospital Marg, Rajendra Nagar",+91 11 2578 2419,http://bbpsgr.balbharati.org/contact-us/,4,Delhi
St. Columba's School,"1, Ashok Place, Near Gole Dakhana, Gole Market",+91 11 2336 3462,http://stcolumbas.edu.in/,4.7,Delhi
Springdales School,"Benito Juarez Road, Dhaula Kuan",+91 11 2411 6657,http://springdales.com/,4.3,Delhi
Bharti Public School,"Vikas Marg, Swasthya Vihar",+91 11 4244 0514,http://www.bps.edu.in/,4,Delhi
"Sanskriti School, Chanakyapuri",Dr. S. Radhakrishnan Marg,+91 11 2688 3336,http://www.sanskritischool.edu.in/,4.5,Delhi
Delhi Public School Mathura Road,Mathura Rd,+91 11 4339 9200,http://www.dpsmathuraroad.org/,4.1,Delhi
Convent of Jesus & Mary,"1, Bangla Sahib Ln, Diz Staff Quarts, Connaught Place",+91 11 2336 6762,http://www.cjmdelhi.com/,4.2,Delhi
The British School,Dr Jose P Rizal Marg,+91 11 4066 4166,http://www.british-school.org/,4.1,Delhi
Presentation Convent Sr. Sec. School,"Shyama Prasad Mukherji Marg, Between Red Fort & Old Delhi Railway Station",+91 11 2386 2862,http://www.pcsdelhi.in/,4.4,Delhi
St. Thomas' Girls Senior Secondary School,"St. Thomas Church, Mandir Marg",+91 11 2336 4094,http://stthomasgirlsschool.com/,4.2,Delhi
Army Public School,Ridge Road,+91 11 2569 3131,http://www.apsdk.com/,4.5,Delhi
"Lovely Public Senior Secondary School,Delhi","Priyadarshini Vihar, Near Bank Enclave,Laxmi Nagar",+91 11 2205 8369,http://lpsschool.com/,3.6,Delhi
Lady Irwin Senior Secondary School,Shrimant Madhav Rao Scindia Marg,+91 11 2338 9564,http://www.ladyirwinschool.org/,4.1,Delhi
DTEA Senior Secondary School,"Nanakpura, Near Police station, Moti Bagh 2",+91 11 2467 3726,http://www.dteaschools.org/,3.7,Delhi
Holy Child Auxilium School,"R.K. Puram, Sector 12",+91 11 2618 2766,http://hcauxilium.co.in/,4.2,Delhi
Presentation Convent Sr. Sec. School,"Shyama Prasad Mukherji Marg, Between Red Fort & Old Delhi Railway Station",+91 11 2386 2862,http://www.pcsdelhi.in/,4.4,Delhi
Navy Children School,"Navy Children School, Satya Marg",+91 11 2467 1892,http://ncsdelhi.nesnavy.in/,4.4,Delhi
Faith Academy,"John L. Dorsey Road, Prasad Nagar",+91 11 2571 5784,http://www.faithacademy.in/,3.6,Delhi
"Lovely Public Senior Secondary School,Delhi","Priyadarshini Vihar, Near Bank Enclave,Laxmi Nagar",+91 11 2205 8369,http://lpsschool.com/,3.6,Delhi
St. Thomas' Girls Senior Secondary School,"St. Thomas Church, Mandir Marg",+91 11 2336 4094,http://stthomasgirlsschool.com/,4.2,Delhi
DTEA Senior Secondary School,"Nanakpura, Near Police station, Moti Bagh 2",+91 11 2467 3726,http://www.dteaschools.org/,3.7,Delhi
Anglo Arabic Senior Secondary School,Ajmeri Gate,+91 11 2321 2734,http://angloarabic.co.in/,5,Delhi
Hillwoods Academy School,"G- Block, Preet Vihar",+91 11 2252 4856,http://www.hillwoodsindia.com/,4,Delhi
Mater Dei School,Tilak Lane,+91 11 2338 7679,http://www.materdeischool.in/,4.5,Delhi
Mother's Global School,"C-Block, Preet Vihar",+91 11 2250 1900,http://mothersglobal.in/,4.3,Delhi
Lady Irwin Senior Secondary School,Shrimant Madhav Rao Scindia Marg,+91 11 2338 9564,http://www.ladyirwinschool.org/,4.1,Delhi
National Victor Public School,IP Ext,+91 11 2224 8200,http://www.nationalvictor.org/,4,Delhi
Ryan International School,"Complex, Sector 21/B, Kondli Gharouli",+91 11 2261 5764,http://www.ryaninternationalschools.com/rismayurvihar/,3.6,Delhi
Bal Mandir Public School,"Gali Number 18, Kailash Nagar, Seelampur",+91 11 2254 8371,https://balmandirschool.com/,2.8,Delhi
Bal Mandir Senior Secondary School,"Defence Enclave, Vikas Marg",+91 11 2254 8731,http://www.balmandirschool.com/,3.6,Delhi
Somerville School,"Vasundhara Enclave, Shaheed Budh Ram Singh Marg",+91 11 4303 4722,http://www.somervillevasundhara.in/,4.2,Delhi
Lady Irwin Senior Secondary School,"D-306, Varun Marg, Defence Colony",+91 11 2462 3196,http://ladyirwinschool.in/,4.1,Delhi
Happy English School (No.II),"294 block, Patpar Ganj Rd, 11, Link Pusta Rd",+91 11 2241 1111,http://www.hesgc.com/,3,Delhi
Happy Public School,"32/125, Street No 10, Vishwas Nagar",+91 11 2230 4944,http://happyhomepublicschool.com/,4,Delhi
South Delhi Public School,"D-Block, Lala Lajpat Rai Rd",+91 11 4763 3333,http://www.southdelhipublicschool.com/,3.6,Delhi
Happy School,"Padam Chand Marg, Darya Ganj",+91 11 2327 1695,http://www.happyschoolnewdelhi.edu.in/,4.1,Delhi
DIWAN CHAND ARYA SR. SEC SCHOOL,Vardman Marg,+91 11 2469 4102,http://diwanchandschool.com/,4,Delhi
Government Co-education Secondary School,"Teliwara Chowk, Near Durga Mandir, Shahdara",+91 11 2239 3033,http://delhi.gov.in/wps/wcm/connect/DOIT_Education/education/home/about+us/list+of+government+schools,3.5,Delhi
Brats n Cuties - Best Pre Schools,R-25 Naveen Shahdara,+91 70423 14545,http://www.bratsandcuties.com/,3,Delhi
New Green Land Public School,351 Krishan Kunj Cly. Laxmi Nagar,+91 70844 87359,http://www.delhi.gov.in/wps/wcm/connect/DOIT_Education/education/home/about+us/list+of+public+schools+recognised+by+mcd,3.1,Delhi
Geeta National Primary School,"I-193, Laxmi Nagar",+91 98108 89490,http://delhi.gov.in/wps/wcm/connect/DOIT_Education/education/home/about+us/list+of+public+schools+recognised+by+mcd,4,Delhi
Vaishali Public School,"7-8 Sunder Park, Shastri Nagar",+91 11 2246 8896,http://delhi.gov.in/wps/wcm/connect/DOIT_Education/education/home/about+us/list+of+public+schools+recognised+by+doe,3.6,Delhi
Bal Bharti P/S Kundan Nagar,"Kundan Nagar, Laxmi Nagar",+91 98107 43016,http://www.delhi.gov.in/wps/wcm/connect/DOIT_Education/education/home/about+us/list+of+public+schools+recognised+by+mcd,1,Delhi
Ryan International School,"Block E, Opp Durga Mandir, Preet Vihar",+91 11 2204 5772,http://www.ryaninternational.org/,3.8,Delhi
Cambridge Primary School New Delhi,"A- Block, New Friends Colony",+91 11 2631 5060,http://nfc.cambridgeschool.edu.in/,4.5,Delhi
The Learning Tree,"B - 13, Subramaniam Bharti Marg, Sujan Singh Park, Khan Market",+91 97171 00853,http://www.learningtreeplayschool.com/,5,Delhi
SALWAN MONTESSORI SCHOOL,"SAlwan Road, Near Karol Bagh Metro Station, Rajendra Nagar",+91 11 4925 4507,http://salwanmontessorischool.net/,4.7,Delhi
Salwan Public School,"Kondli-Gharoli Complex, Mayur Vihar-III",+91 98144 49630,http://www.spsmayurvihar.com/,4.4,Delhi
Shishu Gyan Vidyalaya,"689, Kabool Nagar, Shahdra",+91 98113 63328,http://delhi.gov.in/wps/wcm/connect/DOIT_Education/education/home/about+us/list+of+public+schools+recognised+by+doe,3,Delhi
Bharat National Public School,"Ram Vihar, Karkardooma, Delhi-110092",+91 11 2237 0871,http://www.bnpsramvihar.edu.in/,4,Delhi
Gyan Devi Salwan Public School,Old Rajinder Nagar,+91 11 6537 7342,http://www.gdsalwan.com/,4,Delhi
Banyan Tree School,"3, Lodhi Institutional Area",+91 11 4093 4390,http://www.banyantree.in/,3.9,Delhi
THE ARDEE SCHOOL,Maharshi Raman Marg,+91 98111 10042,http://www.theardeeschool.com/,4.1,Delhi
DTEA Senior Secondary School,"Opposite Bunglow No.46, Sector 4, Lodhi Estate",+91 11 2467 4109,http://www.dteaschools.org/,3.9,Delhi
The Pinnacle School,"Senior Junior And Tiny Tots, D-Block Panchsheel Enclave, New Delhi",+91 88609 35481,http://thepinnacleschool.com/,3,Delhi
Ambience Public School,"A-1, Safdurjung Enclave",+91 11 4723 2000,http://www.ambiencepublicschool.com/,4.3,Delhi
Greenway Modern School,"A-210, Jhilmil Colony",+91 11 2214 0795,http://www.greenwayschool.org/,3.8,Delhi
Mayur Public School,"I.P.Extension , Behind mother dairy plant",+91 11 2247 7676,http://www.mayurpublicschool.com/,3.8,Delhi
The Sanskriti,"2058, Chandani Chowk, Paranthe Wali Gali, Chandani Chowk",+91 11 2327 8548,http://www.sanskritischool.edu.in/,1,Delhi
DTEA Senior Secondary School,Sadhu Vasvani Marg,+91 11 2574 3989,http://www.dteaschools.org/,4.1,Delhi
Maple Bear Canadian Pre-School,"Block B-1/46, Ground Floor, Safdarjung Enclave",+91 98107 76259,http://www.maplebear.in/safdarjungenclave/,4.2,Delhi
"Maple Bear Canadian Pre-school, New Friends Colony","B-324, New Friends Colony",+91 95999 36624,http://www.maplebear.in/nfcdelhi,5,Delhi
German School New Delhi,"2, Block F, Diplomatic Enclave, Nyaya Marg, Chanakyapuri",+91 11 4168 0240,http://www.dsnd.de/,4.5,Delhi
Green Fields School,"Block A 2, Chaudhary Jhandu Singh Rd",+91 11 2610 1106,http://www.greenfieldsschool.co.in/,4.2,Delhi
