School_Name,School_Address,School_Contact,School_Website,School_Rating,School_City
Seth Anandram Jaipuria School,"Sector 14, Vasundhara",+91 120 417 9300,http://jaipuria.edu.in/ghaziabadschool/,4,Ghaziabad
Khaitan Public School,"Ganga Banquet Rd, Sector 5, Rajendra Nagar, Sahibabad",+91 120 485 0300,http://khaitanpublicschool.com/,4.2,Ghaziabad
St Thomas School,"Sector IV, Lajpat Nagar,Sahibabad",+91 120 263 0677,http://www.stthomasghaziabad.org/,3.7,Ghaziabad
Indirapuram Public School,"C-Block, Sector 12, Pratap Vihar",+91 120 284 0031,http://www.indirapuramschool.com/,3.9,Ghaziabad
Delhi Public School,"Sector 9, Vasundhara",+91 120 288 0262,http://dpsgv.in/,4,Ghaziabad
Cambridge School,"Shakti Khand II, Indirapuram",+91 120 260 7330,http://www.csindirapuram.com/,4.4,Ghaziabad
The Modern School,"Sector 2A/CC, Vasundhara",+91 120 650 0471,http://modernschoolgz.com/,4.1,Ghaziabad
Ch. Chhabil Dass Public School,"Ch, B - Block, Chhabil Das Marg",+91 120 285 6952,http://ccdps.in/,3.9,Ghaziabad
Amity International School,"HS-1 Sector-1, Vasundhara",+91 120 269 9290,http://www.amity.edu/ais/aisv1/,4.1,Ghaziabad
Delhi Public School Indirapuram,"526/1, Ahinsa Khand -II, Indirapuram",+91 120 466 0000,http://www.dpsindirapuram.com/,4.6,Ghaziabad
JKG International School Indirapuram,"Plot Number-13/14, Shakti Khand 2, Opp Swarn Jayanti Park, Indirapuram",+91 120 265 3104,http://www.jkgschool.com/jkgi/,4.1,Ghaziabad
Arwachin Public School,"Sector 14, Vasundhra",+91 120 288 4141,http://www.arwachinkids.com/,3.8,Ghaziabad
DPS Indirapuram,"No. 526/1, Judges Enclave, Indirapuram, Ahinsa Khand -II",+91 120 466 0000,http://www.dpsindirapuram.com/,4.1,Ghaziabad
Play school in Indirapuram,"186, Gyan Khand 1",+91 90159 26222,http://www.rainbow-theplaygroup.com/,5,Ghaziabad
Ralli International School,"Nitikhand-III, Indirapuram",+91 120 490 1624,http://www.ralliinternationalschool.com/,4.6,Ghaziabad
"Maple Bear Canadian School, Indirapuram, Ghaziabad","Gate, Street Number 04",+91 85128 88820,http://www.maplebear.in/shiprasuncity/,3.9,Ghaziabad
KR Mangalam World School,"Plot No 11, Sector 6, Near Arogya Hospital, Vaishali Extension, Ramprastha Greens, Vaishali",+91 87507 83999,http://krmangalam.com/vaishali/,4.2,Ghaziabad
Ralli International School,"Nitikhand-III, Indirapuram",+91 120 490 1624,http://www.ralliinternationalschool.com/,4.6,Ghaziabad
St. Francis School,"Abhay Khand-III/2, Indirapuram, Ghaziabad",+91 120 269 0310,http://www.sfsindirapuram.com/,3.8,Ghaziabad
"DAV Public School, Sahibabad","Sector - II, T.H. A., Rajender Nagar, Sahibabad",+91 120 263 1206,http://www.davpssahibabad.org/,4.2,Ghaziabad
"Maple Bear Canadian School, Indirapuram, Ghaziabad","Gate, Street Number 04",+91 85128 88820,http://www.maplebear.in/shiprasuncity/,3.9,Ghaziabad
Hand In Hand- A play School & Day Care,Plot No: 404,+91 98109 56464,http://www.handinhand.in/,4.2,Ghaziabad
Bloom Public Senior Secondary School,"E-Block,Sec-11,Pratap Vihar",+91 99997 46018,http://www.bloompublicschoolgzb.com/,3.3,Ghaziabad
KR Mangalam World School,"Plot No 11, Sector 6, Near Arogya Hospital, Vaishali Extension, Ramprastha Greens, Vaishali",+91 87507 83999,http://krmangalam.com/vaishali/,4.2,Ghaziabad
CSHP Public School,"Pratap Vihar, G Block",+91 120 284 3032,http://www.cshpschool.com/,3.2,Ghaziabad
Presidium School Indirapuram,"A-16, Habitat Centre, Ahinsa Khand- I, Indirapuram",+91 78386 54425,http://www.presidiumindirapuram.com/,3.8,Ghaziabad
Vanasthali Public School,"Plot no. 2, Gautam Palvi Road, Block C, Sector 2, Vaishali",+91 120 321 3323,http://www.vpsvaishali.com/,4.1,Ghaziabad
Mount Litera Zee School,"B-8, Rajiv Colony Marg, Block B, Loni Industrial Area, Near BLS Institute of Management, Mohan Nagar",+91 120 419 2543,http://www.mountliteragzb.com/,3.6,Ghaziabad
St Teresa School,"Shakti Khand-II, Indirapuram",+91 88260 00216,http://www.stteresaschool.in/,4.3,Ghaziabad
Police Modern School,"41 Battalion P.A.C, Sector-1, Vaishali",+91 120 277 2071,http://www.pms41bn.com/,4.4,Ghaziabad
"Sanfort Indirapuram- Nursery School, Kindergarten, Best Play School, Best Preschool in Indirapuram","136, Niti Khand II, Indirapuram",+91 95407 71133,http://www.sanfortschools.com/,4.2,Ghaziabad
Bloom Public S.R Secondary School,"K-13, E-Block, Vijay Nagar, Sector-9, Pratap Vihar",+91 99115 11615,http://www.bloompublicschoolgzb.com/,3.4,Ghaziabad
GD Goenka Public School,"711, Shakti Khand III, Indirapuram",+91 99995 72500,http://gdgoenkaschoolindirapuram.com/,3.4,Ghaziabad
Allenhouse Public School,PS2,+91 97176 52378,http://www.allenhouseghaziabad.com/,4.3,Ghaziabad
Sun Valley International School,"A-1, Sector 1, Vaishali",+91 120 277 7725,http://sunvalleyncr.com/,4.1,Ghaziabad
Pratap viharSSK Public School,"F-block, Sector-11, Pratap Vihar, Pratap Vihar",+91 120 274 1907,http://www.sskpublicschool.org/123456,3.3,Ghaziabad
Sanfort,"405,",+91 98710 41563,http://www.sanfortschools.com/,2.7,Ghaziabad
"Sanfort School- Top, Preschool, Play School Franchise in Ghaziabad, Delhi,India","1514/1,",+91 99906 42929,http://www.sanfortschools.com/,4.6,Ghaziabad
RiseKids Pre-School,"1/53 & 1/54,",+91 78400 02559,http://risekids.in/,3.5,Ghaziabad
Aryan Public School,Kaling Marg,+91 120 457 1510,http://www.aryanpublicschool.com/,3.8,Ghaziabad
Risekids Pre-School,"13/157 – A, Near Maharaja Agarsain Public School, Sec -1 3",+91 1800 833 5335,http://www.risekids.in/,4,Ghaziabad
Fatima Convent Senior Secondary School.,Nandgram Rd,+91 120 287 1847,http://fatimaconventschool.com/,4.3,Ghaziabad
Sanfort,"338, Gyan Khand 1",+91 85869 26794,http://www.sanfortschools.com/,3.7,Ghaziabad
National Public School,"Plot No :38, Gali Number 3, Shyam Park",+91 120 265 7306,http://www.nationalpublicschool.org.in/,3.3,Ghaziabad
"D.A.V. Public School, Brij Vihar",Brij Vihar,+91 120 264 1387,http://davbrijvihar.com/,3.6,Ghaziabad
Diwakar Model School,GHAZIABAD,+91 98107 46270,http://www.diwakarmodelschool.in/,3.1,Ghaziabad
