school_Name,School_Library,School_SportFacility,School_ScienceLab,School_Art And Culture,School_MoreInfo
DE724,Available,Sports Complex,"Physics,Chemistry,Biology,Biotechnology,General","Batic,Commercial,Sculpture,Music(Room)",https://www.dpsrkp.net/infrastructure.asp
DE945,Available,"practice pitch, baseball field, table tennis facilities, volley ball, lawn tennis and swimming pool","English,Computer,physics,chemistry,biology",,http://www.stxaviersdelhi.com/school_traditions.aspx
DE524,Available,"Volleyball,Gymnatics,Badminton","Physics, Chemistry, Biology and Psychology","Pottery,Dancing Queens,School Band",http://www.carmeldelhi.com/acvt_sr-school.jsp
DE1792,Available,Sports programme,"Math,Computer,English,physics,biology","Sketching, Painting, Poster Making, Clay Modeling, Wood Craft ",http://spvdelhi.org/page.php?PAGE=53
DE1793,Available,"Cricket,Yoga,Badminton,Vollyeball,Football,Gymnastics,Tennis,Chess","Physics, Chemistry, Biology and Psychology","School Band,Sculpture and Wood Craft,vocal music,Classical Dance,school band",http://www.modernschool.net/academics-subject-combination.html
DE1330,Available,"Athletics, Basket Ball, Volley Ball, Cricket, Table Tennis, Badminton, Judo, Karate,  Ball",,performing arts programs along with various clubs and life skill,http://bbpsgr.balbharati.org/contact-us/
DE1845,Available,"Cricket,Yoga,Badminton,Basketballball,Football,Swimming pool","physics,chemistry,Biology,computer","Dance,music",http://www.stcolumbas.edu.in/facilities.html
DE1621,,"basketball, football, tennis, athletics, table tennis, Swimming",Computer,"Folk dancing and choral singing, drama and street plays,Interior Design, Batik",http://springdales.com/curriculum.asp
DE1067,Available,"badminton, basketball,ball zonal","Computer,physics,chemistry,biology","solo dance,folk dance,kalakriti,folk song",http://www.bps.edu.in/sv
DE1109,Available,"Basketball, Football, Badminton, Cricket,Table Tennis,Gymnastics,","Physics, Chemistry, Biology and Psychology"," display boards on the walls exhibit the brilliant work of the creative young minds,Clay Modelling",http://www.sanskritischool.edu.in
DE792,Available,"Athletics, Basket Ball, Table Tennis, ","Physics,Chemistry,Biology,General","Music,Painting,Self Defence,hindi ,french",https://dpsmathuraroad.org/subject-combination.php
DE1052,Available,"Gymnasium,basketball,swings,table tennis","physics,chemistry,Biology,computer","Music,Craft Room,Art Room",http://www.cjmdelhi.com/Infrastructure.aspx
DE858,Available,"athletics, badminton, basketball, cricket, football, ?tness, gymnastics, hockey",,"Dance, gymnastics, trampolining, ?tness, martial arts, aerobics,dramastic, Modern foreign languages",https://www.british-school.org/Sports
DE1530,Available,Basketball,"physics,chemistry,computer",Art Room,http://www.pcsdelhi.in/school-infrastructure.aspx
DE1200,Available,"Basketball,Table Tennis,Sick Bay","physics,chemistry,computer,home science",Art Room,http://stthomasgirlsschool.com/labs.htm
