School_Name,School_Address,School_Contact,School_Website,School_Rating,School_City
The Khaitan School,"1A/A, Block F, Sector 40",+91 120 400 7575,http://www.thekhaitanschool.org/,3.8,Noida
Billabong High International School,"A-73, Sector-34",+91 120 423 3128,http://billabonghighschoolnoida.com/,4.3,Noida
Apeejay School,+91 120 251 5141,,http://apeejay.edu/noida/,3.5,Noida
Vishwa Bharati Public School,"Arun Vihar, Sector 28",+91 120 245 5142,http://vbpsnoida.com/,4.3,Noida
Pathways School Noida,+91 95601 66200,,https://www.pathways.in/noida,3.7,Noida
Mayoor School,"Sector 126, Expressway, Next to Amity University",+91 120 461 8301,http://www.mayoornoida.net/,3.8,Noida
Assisi Convent School,"A-43, Block A, Sector 33",+91 120 250 5412,http://assisinoida.com/,4.2,Noida
Somerville School,"D-89, Sector- 22, Gautam Buddh Nagar",+91 120 241 5050,http://www.somervillenoida.in/,4.1,Noida
Cambridge School,"Near Viniyak Hospital, Gautam Budh Nagar, Sector-27",+91 120 252 8509,http://noida.cambridgeschool.edu.in/,4.1,Noida
Lotus Valley International School,Expressway,+91 99109 62228,http://www.lotusvalley.com/,4,Noida
The Millennium School,"No.D-108, Aghapur, Sector 41",+91 120 421 7341,http://www.themillenniumschools.com/,3.6,Noida
"Army Public School, Noida","Sector 37, Arun Vihar, Opposite Shaheed Smarak",+91 120 243 0432,http://apsnoida.edu.in/,4.4,Noida
Amity International School,Sector 44,+91 120 439 9000,http://www.amity.edu/ais/aiss/,3.8,Noida
Noida Public Senior Secondary School,A-78,+91 120 241 1300,http://www.noidapublicschool.com/,3.8,Noida
"Nehru International Public School, Noida",+91 120 420 8105,,http://www.nipschoolnoida.com/,4,Noida
Genesis Global School,"A - 12, Sector - 132, Expressway",+91 97110 00626,http://www.genesisglobalschool.edu.in/,4.2,Noida
Sapphire International School,"SS - 1, Sector 70",+91 97173 30066,http://www.sapphireschool.in/,4.2,Noida
Shiv Nadar School,"Plot No -SS -1, Expressway, Sector 168",+91 120 640 7177,http://shivnadarschool.edu.in/,4.1,Noida
Delhi Public School,Sector-30,+91 120 450 9100,http://www.dpsnoida.co.in/,3.9,Noida
