School_Id,Season,School_Division,School_StartTime,School_FinishTime
GH1494,Summer,Playway,8:00,12:15
GH1494,Summer,Primary,8:00,2:30
GH1494,Summer,Secondary,8:00,2:30
GH1494,Summer,Higher ,8:00,2:30
GH1494,Winter,Playway,8:00,12:15
GH1494,Winter,Primary,8:00,2:10
GH1494,Winter,Secondary,8:00,2:10
GH1494,Winter,Higher ,8:00,2:10
GH943,Summer,Playway,8:30,12:30
GH943,Summer,Primary,8:30,2:30
GH943,Summer,Secondary,8:30,2:30
GH943,Summer,Higher ,8:30,2:30
GH943,Winter,Playway,8:50,1:00
GH943,Winter,Primary,8:50,3:00
GH943,Winter,Secondary,8:50,3:00
GH943,Winter,Higher ,8:50,3:00
GH1756,Summer,Playway,8:30,12:30
GH1756,Summer,Primary,7:30,1:30
GH1756,Summer,Secondary,7:30,1:30
GH1756,Summer,Higher ,7:30,1:30
GH1756,Winter,Playway,9:00,12:30
GH1756,Winter,Primary,8:00,2:00
GH1756,Winter,Secondary,8:00,2:00
GH1756,Winter,Higher ,8:00,2:00
GH1343,Summer,Playway,8:00,12:30
GH1343,Summer,Primary,8:00,2:00
GH1343,Summer,Secondary,8:00,2:00
GH1343,Summer,Higher ,8:00,2:00
GH1343,Winter,Playway,8:30,1:00
GH1343,Winter,Primary,8:30,2:30
GH1343,Winter,Secondary,8:30,2:30
GH1343,Winter,Higher ,8:30,2:30
GH1932,Summer,Playway,8:30,12:30
GH1932,Summer,Primary,8:30,2:30
GH1932,Summer,Secondary,8:30,2:30
GH1932,Summer,Higher ,8:30,2:30
GH1932,Winter,Playway,9:00,1:00
GH1932,Winter,Primary,9:00,3:00
GH1932,Winter,Secondary,9:00,3:00
GH1932,Winter,Higher ,9:00,3:00
GH1513,Summer,Playway,8:30,12:30
GH1513,Summer,Primary,8:30,2:30
GH1513,Summer,Secondary,8:30,2:30
GH1513,Summer,Higher ,8:30,2:30
GH1513,Winter,Playway,9:00,1:00
GH1513,Winter,Primary,9:00,3:00
GH1513,Winter,Secondary,9:00,3:00
GH1513,Winter,Higher ,9:00,3:00
GH1918,Summer,Playway,8:30,12:30
GH1918,Summer,Primary,8:30,1:30
GH1918,Summer,Secondary,8:30,1:30
GH1918,Summer,Higher ,8:30,1:30
GH1918,Winter,Playway,9:00,1:00
GH1918,Winter,Primary,9:00,2:00
GH1918,Winter,Secondary,9:00,2:00
GH1918,Winter,Higher ,9:00,2:00
GH933,Summer,Playway,7:20,12:30
GH933,Summer,Primary,7:20,1:30
GH933,Summer,Secondary,7:20,1:30
GH933,Summer,Higher ,7:20,1:30
GH933,Winter,Playway,8:30,1:30
GH933,Winter,Primary,9:00,2:00
GH933,Winter,Secondary,9:00,2:00
GH933,Winter,Higher ,9:00,2:00
GH1776,Summer,Playway,8:30,12:30
GH1776,Summer,Primary,8:30,1:30
GH1776,Summer,Secondary,8:30,1:30
GH1776,Summer,Higher ,8:30,1:30
GH1776,Winter,Playway,9:00,1:00
GH1776,Winter,Primary,9:00,2:00
GH1776,Winter,Secondary,9:00,2:00
GH1776,Winter,Higher ,9:00,2:00
GH1164,Summer,Playway,8:00,12:15
GH1164,Summer,Primary,8:00,2:30
GH1164,Summer,Secondary,8:00,2:30
GH1164,Summer,Higher ,8:00,2:30
GH1164,Winter,Playway,8:00,12:15
GH1164,Winter,Primary,8:00,2:10
GH1164,Winter,Secondary,8:00,2:10
GH1164,Winter,Higher ,8:00,2:10
GH1239,Summer,Playway,8:00,12:15
GH1239,Summer,Primary,8:00,1:00
GH1239,Summer,Secondary,8:00,1:00
GH1239,Summer,Higher ,8:00,1:00
GH1239,Winter,Playway,8:30,1:30
GH1239,Winter,Primary,8:30,2:30
GH1239,Winter,Secondary,8:30,2:30
GH1239,Winter,Higher ,8:30,2:30
GH1473,Summer,Playway,8:00,12:15
GH1473,Summer,Primary,8:00,1:00
GH1473,Summer,Secondary,8:00,1:00
GH1473,Summer,Higher ,8:00,1:00
GH1473,Winter,Playway,8:30,1:30
GH1473,Winter,Primary,8:30,2:30
GH1473,Winter,Secondary,8:30,2:30
GH1473,Winter,Higher ,8:30,2:30
GH1157,Summer,Playway,8:00,12:00
GH1157,Winter,Playway,8:30,12:30
GH1216,Summer,Playway,9:00,11:30
GH1216,Summer,Primary,8:30,12:45
GH1216,Summer,Secondary,7:55,1:45
GH1216,Summer,Higher ,7:55,1:45
GH1216,Winter,Playway,9:45,12:30
GH1216,Winter,Primary,9:45,1:30
GH1216,Winter,Secondary,8:45,2:30
GH1216,Winter,Higher ,8:45,2:30
